feature,target,decile,months,avg_n_obs,ew_mean_return,ew_median_return
avg_manager_breadth,fwd_ret_1m,1,297,419.5723905723906,0.007664573166070712,0.006722459595959596
avg_manager_breadth,fwd_ret_1m,2,297,419.4781144781145,0.009435116075217782,0.008026819865319865
avg_manager_breadth,fwd_ret_1m,3,297,419.3703703703704,0.009515886754043938,0.006271765993265992
avg_manager_breadth,fwd_ret_1m,4,297,419.2828282828283,0.00968949031049048,0.00489166835016835
avg_manager_breadth,fwd_ret_1m,5,297,419.15488215488216,0.011347144220554878,0.0037314141414141414
avg_manager_breadth,fwd_ret_1m,6,297,419.0740740740741,0.011142073996045098,0.001509750841750842
avg_manager_breadth,fwd_ret_1m,7,297,418.969696969697,0.010620913000807678,-0.00048406397306397316
avg_manager_breadth,fwd_ret_1m,8,297,418.8787878787879,0.009888421671419316,-0.0029815505050505057
avg_manager_breadth,fwd_ret_1m,9,297,418.7946127946128,0.009342640258044306,-0.006688597643097643
avg_manager_breadth,fwd_ret_1m,10,297,418.67003367003366,0.005087271139198471,-0.014752659932659933
avg_manager_breadth,fwd_ret_3m,1,295,413.87118644067795,0.023920818063817913,0.021677554833087507
avg_manager_breadth,fwd_ret_3m,2,295,413.76271186440675,0.028362060651829286,0.023950790582968243
avg_manager_breadth,fwd_ret_3m,3,295,413.6813559322034,0.028550845281935997,0.021020980292611128
avg_manager_breadth,fwd_ret_3m,4,295,413.56610169491523,0.028557482972225216,0.01529806558988277
avg_manager_breadth,fwd_ret_3m,5,295,413.47457627118644,0.03455610991238752,0.0150239199506958
avg_manager_breadth,fwd_ret_3m,6,295,413.3491525423729,0.03560629573769582,0.01117589278883121
avg_manager_breadth,fwd_ret_3m,7,295,413.2610169491525,0.03273995622706273,0.004830408347593564
avg_manager_breadth,fwd_ret_3m,8,295,413.1457627118644,0.02984765693534638,-0.0005905358009234618
avg_manager_breadth,fwd_ret_3m,9,295,413.0372881355932,0.027951550797513776,-0.008204319923188878
avg_manager_breadth,fwd_ret_3m,10,295,412.9627118644068,0.013231951549491463,-0.028489338156362183
fragility_proxy,fwd_ret_1m,1,297,419.5723905723906,0.006865706796820488,-0.006556481481481482
fragility_proxy,fwd_ret_1m,2,297,419.4781144781145,0.008379412423816056,0.0007653922558922556
fragility_proxy,fwd_ret_1m,3,297,419.3703703703704,0.009532033697346965,0.0022061767676767674
fragility_proxy,fwd_ret_1m,4,297,419.2828282828283,0.009874107956487566,0.002823149831649832
fragility_proxy,fwd_ret_1m,5,297,419.15488215488216,0.009733799092442432,0.0033865370370370373
fragility_proxy,fwd_ret_1m,6,297,419.0740740740741,0.010077963985299447,0.003253915824915825
fragility_proxy,fwd_ret_1m,7,297,418.969696969697,0.010211520795424058,0.00387273569023569
fragility_proxy,fwd_ret_1m,8,297,418.8787878787879,0.011774357689170602,0.004024713804713805
fragility_proxy,fwd_ret_1m,9,297,418.7946127946128,0.009357368565870152,0.0025765370370370373
fragility_proxy,fwd_ret_1m,10,297,418.67003367003366,0.007934492177920164,-0.0031153333333333332
fragility_proxy,fwd_ret_3m,1,295,413.87118644067795,0.020603622788664542,-0.009585827703706726
fragility_proxy,fwd_ret_3m,2,295,413.76271186440675,0.026371055463037987,0.0070798186374777024
fragility_proxy,fwd_ret_3m,3,295,413.6813559322034,0.029357163084666925,0.01309357686669201
fragility_proxy,fwd_ret_3m,4,295,413.56610169491523,0.029459024262313782,0.012689695611087114
fragility_proxy,fwd_ret_3m,5,295,413.47457627118644,0.028753036000021378,0.01316832506628803
fragility_proxy,fwd_ret_3m,6,295,413.3491525423729,0.03048178433546977,0.014786891638709495
fragility_proxy,fwd_ret_3m,7,295,413.2610169491525,0.03065437755588244,0.014617990953716862
fragility_proxy,fwd_ret_3m,8,295,413.1457627118644,0.03427140450221099,0.016833055388544117
fragility_proxy,fwd_ret_3m,9,295,413.0372881355932,0.029235410337067395,0.012534028615369347
fragility_proxy,fwd_ret_3m,10,295,412.9627118644068,0.024167700212167596,-0.0020236363260997753
mktcap_proxy,fwd_ret_1m,1,297,419.54208754208753,0.018542936333602995,-0.016381661616161617
mktcap_proxy,fwd_ret_1m,2,297,419.4410774410774,0.007656847231361091,-0.008268579124579125
mktcap_proxy,fwd_ret_1m,3,297,419.32996632996634,0.008771471534198006,-0.0023246902356902355
