spec,target,months,avg_n_obs,min_n_obs,avg_adj_r2,median_adj_r2
direct_ownership_core,fwd_ret_1m,296,4183.304054054054,3257,0.030741842684509996,0.020454696490473434
direct_ownership_core,fwd_ret_3m,294,4126.438775510204,3220,0.03156778394128467,0.02237544675713743
full_core_no_controls,fwd_ret_1m,296,4183.665540540541,3258,0.029623206964032305,0.01999723920580293
full_core_no_controls,fwd_ret_3m,294,4126.755102040816,3221,0.03128745626545793,0.022662086291485473
full_core_with_controls,fwd_ret_1m,296,4183.304054054054,3257,0.03481557060311895,0.02336571355598377
full_core_with_controls,fwd_ret_3m,294,4126.438775510204,3220,0.036481848136273774,0.026071008205076462
interaction_mechanism,fwd_ret_1m,296,4183.304054054054,3257,0.02620746812403324,0.015032414188321852
interaction_mechanism,fwd_ret_3m,294,4126.438775510204,3220,0.025930451811366845,0.015938948247452955
network_core,fwd_ret_1m,296,4183.304054054054,3257,0.018238861071290743,0.01135410885646515
network_core,fwd_ret_3m,294,4126.438775510204,3220,0.019938090870764542,0.013448946931686856
sell_pressure_mechanism,fwd_ret_1m,296,4183.304054054054,3257,0.023643667513670752,0.013386540222120047
sell_pressure_mechanism,fwd_ret_3m,294,4126.438775510204,3220,0.02341297846304953,0.013118378004162823
univariate__avg_manager_breadth,fwd_ret_1m,297,4191.245791245791,3258,0.005807768945315493,0.0018845551781099257
univariate__avg_manager_breadth,fwd_ret_3m,295,4134.11186440678,3221,0.006739845346891,0.003050808444304942
univariate__fragility_proxy,fwd_ret_1m,297,4191.245791245791,3258,0.0012159895192528079,0.00028279007865483763
univariate__fragility_proxy,fwd_ret_3m,295,4134.11186440678,3221,0.0014695776771105698,0.000447033569142552
univariate__network_degree,fwd_ret_1m,297,4191.245791245791,3258,0.0035962440904033868,0.0015966382767582665
univariate__network_degree,fwd_ret_3m,295,4134.11186440678,3221,0.004667931594086425,0.0018109775634327363
univariate__network_peer_sell_pressure,fwd_ret_1m,296,4183.665540540541,3258,0.006506457803136299,0.0014059265087703054
univariate__network_peer_sell_pressure,fwd_ret_3m,294,4126.755102040816,3221,0.007425363621185517,0.0017161703971265707
univariate__network_weighted_degree,fwd_ret_1m,297,4191.245791245791,3258,0.0029589850225049267,0.0014012769604803132
univariate__network_weighted_degree,fwd_ret_3m,295,4134.11186440678,3221,0.003589574161569227,0.001971347568275328
univariate__owner_count,fwd_ret_1m,297,4191.245791245791,3258,0.005096968718685447,0.0021297683201190187
univariate__owner_count,fwd_ret_3m,295,4134.11186440678,3221,0.006321687272189274,0.003157788009763629
univariate__owner_hhi,fwd_ret_1m,297,4191.245791245791,3258,0.007277110933021757,0.0035115584827087876
univariate__owner_hhi,fwd_ret_3m,295,4134.11186440678,3221,0.009645410696753828,0.0047626222331331736
univariate__stock_sell_pressure,fwd_ret_1m,296,4183.665540540541,3258,0.011146817647920509,0.004442768720236856
univariate__stock_sell_pressure,fwd_ret_3m,294,4126.755102040816,3221,0.009777235273039846,0.003987038252977693
univariate__top_owner_share,fwd_ret_1m,297,4191.245791245791,3258,0.007713131916780548,0.00328441892767517
univariate__top_owner_share,fwd_ret_3m,295,4134.11186440678,3221,0.01007697788866179,0.004897140885885776
