model,target,test_year,feature,importance
ridge_all,fwd_ret_1m,2012,z_owner_count,0.0038377896416932344
ridge_all,fwd_ret_1m,2012,z_owner_hhi,0.0019147242419421673
ridge_all,fwd_ret_1m,2012,z_top_owner_share,0.00022786813497077674
ridge_all,fwd_ret_1m,2012,z_fragility_proxy,0.0013659230899065733
ridge_all,fwd_ret_1m,2012,z_avg_manager_breadth,0.0009211759897880256
ridge_all,fwd_ret_1m,2012,z_stock_sell_pressure,0.03908954933285713
ridge_all,fwd_ret_1m,2012,z_network_degree,0.0013782245805487037
ridge_all,fwd_ret_1m,2012,z_network_weighted_degree,0.001469890121370554
ridge_all,fwd_ret_1m,2012,z_network_peer_sell_pressure,0.0054006436839699745
ridge_all,fwd_ret_1m,2012,z_mktcap_proxy,0.0030920240096747875
ridge_all,fwd_ret_1m,2012,z_vol,0.009090100415050983
ridge_all,fwd_ret_1m,2012,z_fragility_proxy_x_stock_sell_pressure,0.003749149153009057
ridge_all,fwd_ret_1m,2012,z_fragility_proxy_x_network_peer_sell_pressure,0.0005561869475059211
ridge_all,fwd_ret_1m,2012,z_owner_hhi_x_stock_sell_pressure,0.001960731577128172
ridge_all,fwd_ret_1m,2012,z_network_weighted_degree_x_network_peer_sell_pressure,0.00028850455419160426
lgbm_all,fwd_ret_1m,2012,z_owner_count,37.0
lgbm_all,fwd_ret_1m,2012,z_owner_hhi,11.0
lgbm_all,fwd_ret_1m,2012,z_top_owner_share,18.0
lgbm_all,fwd_ret_1m,2012,z_fragility_proxy,15.0
lgbm_all,fwd_ret_1m,2012,z_avg_manager_breadth,15.0
lgbm_all,fwd_ret_1m,2012,z_stock_sell_pressure,125.0
lgbm_all,fwd_ret_1m,2012,z_network_degree,19.0
lgbm_all,fwd_ret_1m,2012,z_network_weighted_degree,106.0
lgbm_all,fwd_ret_1m,2012,z_network_peer_sell_pressure,41.0
lgbm_all,fwd_ret_1m,2012,z_mktcap_proxy,96.0
lgbm_all,fwd_ret_1m,2012,z_vol,100.0
lgbm_all,fwd_ret_1m,2012,z_fragility_proxy_x_stock_sell_pressure,7.0
lgbm_all,fwd_ret_1m,2012,z_fragility_proxy_x_network_peer_sell_pressure,3.0
lgbm_all,fwd_ret_1m,2012,z_owner_hhi_x_stock_sell_pressure,23.0
lgbm_all,fwd_ret_1m,2012,z_network_weighted_degree_x_network_peer_sell_pressure,14.0
lgbm_no_network,fwd_ret_1m,2012,z_owner_count,14.0
lgbm_no_network,fwd_ret_1m,2012,z_owner_hhi,9.0
lgbm_no_network,fwd_ret_1m,2012,z_top_owner_share,5.0
lgbm_no_network,fwd_ret_1m,2012,z_fragility_proxy,6.0
lgbm_no_network,fwd_ret_1m,2012,z_avg_manager_breadth,3.0
lgbm_no_network,fwd_ret_1m,2012,z_stock_sell_pressure,74.0
