model,target,test_year,train_months,valid_months,test_months,train_rows,valid_rows,test_rows,n_features,params_json
ridge_all,fwd_ret_1m,2012,116,24,12,574911,92618,43219,15,"{""alpha"": 100.0, ""valid_mse"": 0.017775829881429672}"
lgbm_all,fwd_ret_1m,2012,116,24,12,574911,92618,43219,15,"{""best_iteration"": 21, ""n_estimators"": 650, ""valid_score"": 0.017730662596485078}"
lgbm_no_network,fwd_ret_1m,2012,116,24,12,574911,92618,43219,10,"{""best_iteration"": 6, ""n_estimators"": 650, ""valid_score"": 0.01777907110629688}"
lgbm_network_pressure,fwd_ret_1m,2012,116,24,12,574911,92618,43219,8,"{""best_iteration"": 43, ""n_estimators"": 650, ""valid_score"": 0.017732679634943405}"
ridge_all,fwd_ret_1m,2013,128,24,12,622650,88338,42739,15,"{""alpha"": 100.0, ""valid_mse"": 0.015194647945463657}"
lgbm_all,fwd_ret_1m,2013,128,24,12,622650,88338,42739,15,"{""best_iteration"": 17, ""n_estimators"": 650, ""valid_score"": 0.015143462452856651}"
lgbm_no_network,fwd_ret_1m,2013,128,24,12,622650,88338,42739,10,"{""best_iteration"": 11, ""n_estimators"": 650, ""valid_score"": 0.0151634683546695}"
lgbm_network_pressure,fwd_ret_1m,2013,128,24,12,622650,88338,42739,8,"{""best_iteration"": 12, ""n_estimators"": 650, ""valid_score"": 0.015158480763110188}"
ridge_all,fwd_ret_1m,2014,140,24,12,667897,86017,43833,15,"{""alpha"": 100.0, ""valid_mse"": 0.013403566554188728}"
lgbm_all,fwd_ret_1m,2014,140,24,12,667897,86017,43833,15,"{""best_iteration"": 1, ""n_estimators"": 650, ""valid_score"": 0.01334040953217258}"
lgbm_no_network,fwd_ret_1m,2014,140,24,12,667897,86017,43833,10,"{""best_iteration"": 1, ""n_estimators"": 650, ""valid_score"": 0.013342126894235005}"
lgbm_network_pressure,fwd_ret_1m,2014,140,24,12,667897,86017,43833,8,"{""best_iteration"": 1, ""n_estimators"": 650, ""valid_score"": 0.013344685972469577}"
ridge_all,fwd_ret_1m,2015,152,24,12,711313,86391,44635,15,"{""alpha"": 100.0, ""valid_mse"": 0.012591611593961716}"
lgbm_all,fwd_ret_1m,2015,152,24,12,711313,86391,44635,15,"{""best_iteration"": 1, ""n_estimators"": 650, ""valid_score"": 0.012528431813068524}"
lgbm_no_network,fwd_ret_1m,2015,152,24,12,711313,86391,44635,10,"{""best_iteration"": 1, ""n_estimators"": 650, ""valid_score"": 0.012528813366450923}"
lgbm_network_pressure,fwd_ret_1m,2015,152,24,12,711313,86391,44635,8,"{""best_iteration"": 1, ""n_estimators"": 650, ""valid_score"": 0.012529410005658461}"
ridge_all,fwd_ret_1m,2016,164,24,12,754040,88349,43141,15,"{""alpha"": 100.0, ""valid_mse"": 0.014280681498348713}"
lgbm_all,fwd_ret_1m,2016,164,24,12,754040,88349,43141,15,"{""best_iteration"": 27, ""n_estimators"": 650, ""valid_score"": 0.014229136554293888}"
lgbm_no_network,fwd_ret_1m,2016,164,24,12,754040,88349,43141,10,"{""best_iteration"": 77, ""n_estimators"": 650, ""valid_score"": 0.014229574452215564}"
lgbm_network_pressure,fwd_ret_1m,2016,164,24,12,754040,88349,43141,8,"{""best_iteration"": 1, ""n_estimators"": 650, ""valid_score"": 0.014304140825265174}"
ridge_all,fwd_ret_1m,2017,176,24,12,797568,87945,42456,15,"{""alpha"": 100.0, ""valid_mse"": 0.017061319202184677}"
lgbm_all,fwd_ret_1m,2017,176,24,12,797568,87945,42456,15,"{""best_iteration"": 288, ""n_estimators"": 650, ""valid_score"": 0.016975023935714702}"
lgbm_no_network,fwd_ret_1m,2017,176,24,12,797568,87945,42456,10,"{""best_iteration"": 257, ""n_estimators"": 650, ""valid_score"": 0.01694513789836132}"
lgbm_network_pressure,fwd_ret_1m,2017,176,24,12,797568,87945,42456,8,"{""best_iteration"": 171, ""n_estimators"": 650, ""valid_score"": 0.017065783696634643}"
ridge_all,fwd_ret_1m,2018,188,24,12,842223,85884,40018,15,"{""alpha"": 100.0, ""valid_mse"": 0.016249900683760643}"
lgbm_all,fwd_ret_1m,2018,188,24,12,842223,85884,40018,15,"{""best_iteration"": 118, ""n_estimators"": 650, ""valid_score"": 0.016227836914047222}"
lgbm_no_network,fwd_ret_1m,2018,188,24,12,842223,85884,40018,10,"{""best_iteration"": 61, ""n_estimators"": 650, ""valid_score"": 0.01622253621547256}"
lgbm_network_pressure,fwd_ret_1m,2018,188,24,12,842223,85884,40018,8,"{""best_iteration"": 29, ""n_estimators"": 650, ""valid_score"": 0.01623691117632325}"
ridge_all,fwd_ret_1m,2019,200,24,12,885658,82720,39577,15,"{""alpha"": 100.0, ""valid_mse"": 0.015075181610882282}"
lgbm_all,fwd_ret_1m,2019,200,24,12,885658,82720,39577,15,"{""best_iteration"": 97, ""n_estimators"": 650, ""valid_score"": 0.015048340486671143}"
lgbm_no_network,fwd_ret_1m,2019,200,24,12,885658,82720,39577,10,"{""best_iteration"": 115, ""n_estimators"": 650, ""valid_score"": 0.015064173892521902}"
lgbm_network_pressure,fwd_ret_1m,2019,200,24,12,885658,82720,39577,8,"{""best_iteration"": 70, ""n_estimators"": 650, ""valid_score"": 0.015074124471266699}"
ridge_all,fwd_ret_1m,2020,212,24,12,928297,79692,40587,15,"{""alpha"": 100.0, ""valid_mse"": 0.017973728477954865}"
lgbm_all,fwd_ret_1m,2020,212,24,12,928297,79692,40587,15,"{""best_iteration"": 58, ""n_estimators"": 650, ""valid_score"": 0.017956419481891226}"
lgbm_no_network,fwd_ret_1m,2020,212,24,12,928297,79692,40587,10,"{""best_iteration"": 80, ""n_estimators"": 650, ""valid_score"": 0.017981243796477177}"
lgbm_network_pressure,fwd_ret_1m,2020,212,24,12,928297,79692,40587,8,"{""best_iteration"": 12, ""n_estimators"": 650, ""valid_score"": 0.01798295556887413}"
ridge_all,fwd_ret_1m,2021,224,24,12,968606,79933,46731,15,"{""alpha"": 0.1, ""valid_mse"": 0.03162530064582825}"
lgbm_all,fwd_ret_1m,2021,224,24,12,968606,79933,46731,15,"{""best_iteration"": 371, ""n_estimators"": 650, ""valid_score"": 0.03139430787457142}"
lgbm_no_network,fwd_ret_1m,2021,224,24,12,968606,79933,46731,10,"{""best_iteration"": 347, ""n_estimators"": 650, ""valid_score"": 0.031403058926692144}"
lgbm_network_pressure,fwd_ret_1m,2021,224,24,12,968606,79933,46731,8,"{""best_iteration"": 648, ""n_estimators"": 650, ""valid_score"": 0.031374543474420695}"
ridge_all,fwd_ret_1m,2022,236,24,12,1008205,86327,51634,15,"{""alpha"": 0.1, ""valid_mse"": 0.031550757586956024}"
lgbm_all,fwd_ret_1m,2022,236,24,12,1008205,86327,51634,15,"{""best_iteration"": 650, ""n_estimators"": 650, ""valid_score"": 0.031369748298209245}"
lgbm_no_network,fwd_ret_1m,2022,236,24,12,1008205,86327,51634,10,"{""best_iteration"": 262, ""n_estimators"": 650, ""valid_score"": 0.03142012816944926}"
lgbm_network_pressure,fwd_ret_1m,2022,236,24,12,1008205,86327,51634,8,"{""best_iteration"": 580, ""n_estimators"": 650, ""valid_score"": 0.03139352745070819}"
ridge_all,fwd_ret_1m,2023,248,24,12,1048429,97757,48730,15,"{""alpha"": 100.0, ""valid_mse"": 0.024512795731425285}"
lgbm_all,fwd_ret_1m,2023,248,24,12,1048429,97757,48730,15,"{""best_iteration"": 1, ""n_estimators"": 650, ""valid_score"": 0.024595928156453638}"
lgbm_no_network,fwd_ret_1m,2023,248,24,12,1048429,97757,48730,10,"{""best_iteration"": 317, ""n_estimators"": 650, ""valid_score"": 0.024491911440467425}"
lgbm_network_pressure,fwd_ret_1m,2023,248,24,12,1048429,97757,48730,8,"{""best_iteration"": 1, ""n_estimators"": 650, ""valid_score"": 0.024599417217775376}"
ridge_all,fwd_ret_1m,2024,260,24,11,1093724,100713,42296,15,"{""alpha"": 100.0, ""valid_mse"": 0.030751563608646393}"
lgbm_all,fwd_ret_1m,2024,260,24,11,1093724,100713,42296,15,"{""best_iteration"": 1, ""n_estimators"": 650, ""valid_score"": 0.03080156986944856}"
lgbm_no_network,fwd_ret_1m,2024,260,24,11,1093724,100713,42296,10,"{""best_iteration"": 4, ""n_estimators"": 650, ""valid_score"": 0.030789513217073655}"
lgbm_network_pressure,fwd_ret_1m,2024,260,24,11,1093724,100713,42296,8,"{""best_iteration"": 1, ""n_estimators"": 650, ""valid_score"": 0.030805602203328872}"
ridge_all,fwd_ret_3m,2012,112,24,12,548921,92100,42703,15,"{""alpha"": 100.0, ""valid_mse"": 0.05590515583753586}"
lgbm_all,fwd_ret_3m,2012,112,24,12,548921,92100,42703,15,"{""best_iteration"": 83, ""n_estimators"": 650, ""valid_score"": 0.05442321936161198}"
lgbm_no_network,fwd_ret_3m,2012,112,24,12,548921,92100,42703,10,"{""best_iteration"": 135, ""n_estimators"": 650, ""valid_score"": 0.05501719799652989}"
lgbm_network_pressure,fwd_ret_3m,2012,112,24,12,548921,92100,42703,8,"{""best_iteration"": 131, ""n_estimators"": 650, ""valid_score"": 0.05476838602386071}"
ridge_all,fwd_ret_3m,2013,124,24,12,596616,87834,42272,15,"{""alpha"": 100.0, ""valid_mse"": 0.04816264659166336}"
lgbm_all,fwd_ret_3m,2013,124,24,12,596616,87834,42272,15,"{""best_iteration"": 17, ""n_estimators"": 650, ""valid_score"": 0.04783675870076088}"
lgbm_no_network,fwd_ret_3m,2013,124,24,12,596616,87834,42272,10,"{""best_iteration"": 84, ""n_estimators"": 650, ""valid_score"": 0.04755693216716982}"
lgbm_network_pressure,fwd_ret_3m,2013,124,24,12,596616,87834,42272,8,"{""best_iteration"": 30, ""n_estimators"": 650, ""valid_score"": 0.04780959909850787}"
