stratifier,source_column,model,target,stratum,rows,months,rank_ic_mean,rank_ic_t_hac6,spread_mean,spread_t_hac6,annualized_spread_approx,hit_rate_mean,hit_rate_t_hac6,avg_top_names,avg_bottom_names,annualized_spread_to_vol_proxy
size,mktcap_proxy,lgbm_all,fwd_ret_1m,large,189908,155,0.016029128241473584,2.576076542425542,0.0041315601543287514,1.6709246880115627,0.04957872185194502,0.5516015394497344,42.851907204190994,123.06451612903226,122.06451612903226,0.4781044298827859
size,mktcap_proxy,lgbm_all,fwd_ret_1m,mid,189855,155,0.03144158377030559,4.7812040735547745,0.013720393855057673,4.447731348350027,0.16464472626069207,0.5231317479954898,45.74266871053592,123.02580645161291,122.02580645161291,1.1657777690405862
size,mktcap_proxy,lgbm_all,fwd_ret_1m,small,189806,155,0.04562847859340587,7.057016504804552,0.021062566290723183,4.998937181660108,0.2527507954886782,0.4930584730892637,47.35372633700089,123.0,122.0,1.1617299478545555
size,mktcap_proxy,lgbm_all,fwd_ret_3m,large,186260,153,0.021949177715695323,2.295333521868718,0.011174649128781019,1.4245851487176695,0.044698596515124076,0.5829411956237206,30.817821036694856,122.30065359477125,121.30065359477125,0.385665635556464
size,mktcap_proxy,lgbm_all,fwd_ret_3m,mid,185405,153,0.0532062634791478,5.206835144005174,0.02595857251113806,2.8732848720292687,0.10383429004455225,0.5416397729037052,31.533236748582354,121.71895424836602,120.71895424836602,0.7055518231617104
size,mktcap_proxy,lgbm_all,fwd_ret_3m,small,183898,153,0.04691387699510295,4.63288893492479,0.03983679908526123,3.1229279625862807,0.1593471963410449,0.5019771706191014,31.768617329832836,120.72549019607843,119.72549019607843,0.7500577025142944
size,mktcap_proxy,lgbm_network_pressure,fwd_ret_1m,large,189908,155,0.008567777169273467,1.507355932058631,0.0026384812837024047,1.5782980245116613,0.031661775404428855,0.5519375345511578,41.254092426915655,123.06451612903226,122.06451612903226,0.3498659774570942
size,mktcap_proxy,lgbm_network_pressure,fwd_ret_1m,mid,189855,155,0.017130052946040728,3.4240826276223375,0.005917594067906169,2.3077014048148428,0.07101112881487404,0.5202208556406497,44.25591576162385,123.02580645161291,122.02580645161291,0.5774029558311378
size,mktcap_proxy,lgbm_network_pressure,fwd_ret_1m,small,189806,155,0.008704320829216702,0.8538625610206023,0.006299871319967714,1.6253258733258313,0.07559845583961257,0.4847319273964984,50.875100794414564,123.0,122.0,0.4812819680259932
size,mktcap_proxy,lgbm_network_pressure,fwd_ret_3m,large,186260,153,0.0073156300390207485,1.0325951181608453,0.0032661193045028856,0.8010803428271354,0.013064477218011543,0.5849256475417798,28.263893360658805,122.30065359477125,121.30065359477125,0.16074723681821446
